id,user_id,title,description,start_time,end_time,is_all_day,color,recurrence_rule,recurrence_type,recurrence_days,recurrence_interval,recurrence_end_date,imported_from_device,created_at,updated_at,alerts,travel_time,original_calendar_id,attendees,url,structured_metadata,is_tentative,location
74a23bde-6849-459c-b8f6-f69244593c93,bcc87794-2a6f-41dd-ac6c-89972985d2aa,EY Event bei Gartner,,2025-12-17 00:00:00+00,2025-12-18 00:00:00+00,True,"hsl(262, 83%, 58%)",,none,,,,False,2025-11-24 01:32:31.403692+00,2025-11-28 11:00:43.032132+00,[],,,[],,{},False,München
3debd006-074c-48b7-82c0-001e959cac84,3a972c2f-8535-48ef-9364-f16df7e3857b,Test Event,,2025-11-04 02:38:00+00,2025-11-04 18:38:00+00,False,"hsl(217, 91%, 60%)",,none,,,,False,2025-11-25 21:38:18.601972+00,2025-11-25 21:46:37.70217+00,[],,,[],,{},False,
eda28f04-912f-4da1-a3a3-4b1f09f31281,bcc87794-2a6f-41dd-ac6c-89972985d2aa,Kreuzfahrt Geburtstag Papa,,2026-03-09 00:00:00+00,2026-03-16 00:00:00+00,True,"hsl(262, 83%, 58%)",,none,,,,False,2025-11-24 01:52:36.82724+00,2025-11-24 01:52:36.82724+00,[],,,[],,{},False,
f904470b-7392-45b0-a0e0-15310ac6d7b2,bcc87794-2a6f-41dd-ac6c-89972985d2aa,Arbeit AMS,,2025-11-26 06:00:00+00,2025-11-27 21:00:00+00,False,"hsl(262, 83%, 58%)",,none,,,,False,2025-11-24 01:37:57.721783+00,2025-11-24 12:38:31.865293+00,[],,,[],,{},False,Amsterdam
34f1314d-43d0-48b1-9386-ac7fb70637ce,3a972c2f-8535-48ef-9364-f16df7e3857b,Test Event2,TestDescription,2025-11-28 01:04:00+00,2025-11-28 14:21:00+00,False,"hsl(217, 91%, 60%)",,none,,,,False,2025-11-24 13:04:24.858286+00,2025-11-24 13:04:24.858286+00,[],,,[],,{},False,TestRoom
cb45e477-32be-44fa-a71c-8d7ecc7a34b4,3a972c2f-8535-48ef-9364-f16df7e3857b,Test2,,2025-11-04 00:00:00+00,2025-11-05 00:00:00+00,True,"hsl(217, 91%, 60%)",,none,,,,False,2025-11-25 22:10:11.017436+00,2025-11-25 22:10:23.654863+00,[],,,[],,{},False,
f7302ccc-8812-4157-864e-125b8182e1f1,bcc87794-2a6f-41dd-ac6c-89972985d2aa,TEst Tentatzive,,2025-11-03 00:00:00+00,2025-11-04 00:00:00+00,True,"hsl(262, 83%, 58%)",,none,,,,False,2025-11-25 22:11:25.295417+00,2025-11-25 22:11:25.295417+00,[],,,[],,{},True,
0d9c8e14-7092-4246-ad05-983aaab8738d,bcc87794-2a6f-41dd-ac6c-89972985d2aa,Test Event,,2025-11-24 15:12:00+00,2025-11-24 20:12:00+00,False,"hsl(262, 83%, 58%)",,none,,,,False,2025-11-24 15:12:31.244987+00,2025-11-24 15:13:43.54065+00,[],,,[],,{},False,
c500bdcf-b19b-4d7c-b04c-99b85b0244a4,5ec47423-b8ee-466a-b1dc-85266a400ba1,Olya,,2025-12-17 00:00:00+00,2025-12-21 00:00:00+00,True,"hsl(217, 91%, 60%)",,none,,,,False,2025-11-28 10:56:10.866493+00,2025-11-28 10:57:51.560871+00,[],,,[],,{},False,
229c9e12-0adc-4c48-82fc-c1dd2723c022,bcc87794-2a6f-41dd-ac6c-89972985d2aa,Planetarium (18.30) und Spa Hamburg?,,2026-01-25 00:00:00+00,2026-01-25 00:00:00+00,True,"hsl(142, 71%, 45%)",,none,,,,False,2025-11-29 17:54:01.600595+00,2025-11-29 17:54:01.600595+00,[],,,[],,{},True,Hamburg Planatrium & Spa
6ccf717d-f746-4dd1-8b4e-55c8626de9b0,5ec47423-b8ee-466a-b1dc-85266a400ba1,Mädels,,2025-11-29 13:05:00+00,2025-11-29 21:05:00+00,False,"hsl(350, 89%, 60%)",,none,,,,False,2025-11-28 11:05:50.583423+00,2025-11-28 11:06:00.895881+00,[],,,[],,{},False,
942c4f8b-96f2-4643-97ca-2bbab1bb6c21,bcc87794-2a6f-41dd-ac6c-89972985d2aa,Umzug Löhmann,,2025-11-30 07:00:00+00,2025-11-30 21:00:00+00,False,"hsl(262, 83%, 58%)",,none,,,,False,2025-11-24 01:35:55.401388+00,2025-11-28 10:58:39.739485+00,[],,,[],,{},False,Hamburg
01a28f21-350d-4aba-8085-3ee2ceb17dc1,bcc87794-2a6f-41dd-ac6c-89972985d2aa,Geburtstag von Sebastian Kratzig,,2025-12-11 18:00:00+00,2025-12-11 20:00:00+00,False,"hsl(262, 83%, 58%)",,none,,,,False,2025-11-24 01:35:18.255465+00,2025-11-28 10:58:51.210098+00,[],,,[],,{},False,Bei Basti
1ba00e70-a9e8-4f55-aa92-4f05529dd576,3a972c2f-8535-48ef-9364-f16df7e3857b,Test Event,TestNote,2025-11-25 08:00:00+00,2025-11-25 17:00:00+00,False,"hsl(217, 91%, 60%)",,none,,,,False,2025-11-24 12:37:05.995676+00,2025-11-25 21:45:39.732976+00,[],,,[],http://www.testurl.de/,{},True,TestLocation
f103f9a6-0423-4c18-8b06-ae6a4befe7bd,bcc87794-2a6f-41dd-ac6c-89972985d2aa,Date-Night,,2026-01-23 15:00:00+00,2026-01-24 17:00:00+00,False,"hsl(262, 83%, 58%)",,none,,,,False,2025-11-24 01:44:04.331922+00,2025-11-28 11:01:17.393541+00,[],,,[],,{},False,???
7c22c02d-8414-44a0-b6fb-9b6262226afd,bcc87794-2a6f-41dd-ac6c-89972985d2aa,Date-Night Restaurant,,2025-12-12 18:15:00+00,2025-12-12 22:15:00+00,False,"hsl(262, 83%, 58%)",,none,,,,False,2025-11-24 01:34:29.520669+00,2025-11-28 10:59:16.149432+00,[],,,[],,{},False,"The Wild Duck, Hannover"
ef314248-b7c4-405b-a1a2-21c2d620366f,bcc87794-2a6f-41dd-ac6c-89972985d2aa,Geburtstagsparty Basti,,2025-12-13 16:00:00+00,2025-12-13 22:59:00+00,False,"hsl(262, 83%, 58%)",,none,,,,False,2025-11-24 01:33:47.956643+00,2025-11-28 10:59:32.42424+00,[],,,[],,{},False,
7bcff45a-de57-4914-88d3-b792ce96c0b7,5ec47423-b8ee-466a-b1dc-85266a400ba1,Taylor,,2026-01-31 19:30:00+00,2026-01-31 22:41:00+00,False,"hsl(350, 89%, 60%)",,none,,,,False,2025-12-01 06:41:44.937174+00,2025-12-01 06:41:44.937174+00,[],,,[],,{},False,
97e3f717-5727-43c2-80e2-ed115e775163,bcc87794-2a6f-41dd-ac6c-89972985d2aa,Hanover nach München,,2025-12-16 15:00:00+00,2025-12-16 21:00:00+00,False,"hsl(262, 83%, 58%)",,none,,,,False,2025-11-24 01:30:20.993658+00,2025-11-28 11:00:22.137734+00,[],,,[],,{},False,
